Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
;;80000;0.0635513
;;90000;0.0738362
;;100000;0.0866484
;;110000;0.0807297
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
SHHS;S;;
;;10000;0.0052104
;;20000;0.0022827
;;30000;0.0035908
;;40000;0.0054116
;;50000;0.0066678
;;60000;0.007797
;;70000;0.0093467
;;80000;0.0137566
;;90000;0.0126079
;;100000;0.0138994
;;110000;0.0155902
SHHS;SS;;
;;10000;0.0018209
;;20000;0.0037862
;;30000;0.006346
;;40000;0.008094
;;50000;0.0113957
;;60000;0.0132931
;;70000;0.0164222
;;80000;0.0191894
;;90000;0.0216392
;;100000;0.0235448
;;110000;0.0261194
SHHS;US;;
;;10000;0.001821
;;20000;0.0041413
;;30000;0.0060275
;;40000;0.0088236
;;50000;0.0105209
;;60000;0.0131699
;;70000;0.0155768
;;80000;0.0208821
;;90000;0.020896
;;100000;0.0234037
;;110000;0.024611
SHHS;RS;;
;;10000;0.0044726
;;20000;0.0105552
;;30000;0.0183035
;;40000;0.0245012
;;50000;0.0320854
;;60000;0.042821
;;70000;0.0483647
;;80000;0.0599577
;;90000;0.0715037
;;100000;0.0760597
;;110000;0.0959209
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
SHPS;S;;
;;10000;0.005883
;;20000;0.0141163
;;30000;0.0201087
;;40000;0.0282886
;;50000;0.036787
;;60000;0.0454853
;;70000;0.0541505
;;80000;0.0642339
;;90000;0.0766015
;;100000;0.0815875
;;110000;0.0915751
SHPS;SS;;
;;10000;0.0105126
;;20000;0.019432
;;30000;0.0358395
;;40000;0.0309903
;;50000;0.0422195
;;60000;0.0499852
;;70000;0.0649284
;;80000;0.0733537
;;90000;0.0850483
;;100000;0.0910673
;;110000;0.103484
SHPS;US;;
;;10000;0.0063484
;;20000;0.0140099
;;30000;0.0234081
;;40000;0.033566
;;50000;0.0410904
;;60000;0.0506922
;;70000;0.0615249
;;80000;0.0728277
;;90000;0.082572
;;100000;0.095157
;;110000;0.101741
SHPS;RS;;
;;10000;0.0086841
;;20000;0.0197145
;;30000;0.0316899
;;40000;0.0442949
;;50000;0.0579507
;;60000;0.0719247
;;70000;0.0891173
;;80000;0.104795
;;90000;0.119169
;;100000;0.129355
;;110000;0.148095
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
QS;S;;
;;10000;0.833779
;;20000;3.29521
;;30000;7.46445
;;40000;13.2497
;;50000;20.734
;;60000;29.9926
;;70000;40.6216
;;80000;54.2066
;;90000;68.1006
;;100000;82.8507
;;110000;100.209
QS;SS;;
;;10000;0.0665388
;;20000;0.264039
;;30000;0.615486
;;40000;1.0242
;;50000;1.75992
;;60000;2.49076
;;70000;3.26494
;;80000;4.08371
;;90000;5.71823
;;100000;7.0169
;;110000;8.52244
QS;US;;
;;10000;0.504688
;;20000;2.06962
;;30000;4.52497
;;40000;8.64818
;;50000;14.6994
;;60000;19.0018
;;70000;25.8095
;;80000;33.0761
;;90000;41.1406
;;100000;50.1722
;;110000;60.8276
QS;RS;;
;;10000;0.0024275
;;20000;0.0047602
;;30000;0.007547
;;40000;0.0108023
;;50000;0.0132496
;;60000;0.0163542
;;70000;0.0194485
;;80000;0.0231103
;;90000;0.0289324
;;100000;0.0275727
;;110000;0.0327522
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
HS;S;;
;;10000;0.0041545
;;20000;0.0090528
;;30000;0.0141363
;;40000;0.0197981
;;50000;0.0259565
;;60000;0.0309966
;;70000;0.0360152
;;80000;0.0416219
;;90000;0.0479294
;;100000;0.0539569
;;110000;0.0594437
HS;SS;;
;;10000;0.0040673
;;20000;0.0091211
;;30000;0.0139878
;;40000;0.0192672
;;50000;0.0251499
;;60000;0.0310341
;;70000;0.0369142
;;80000;0.0427841
;;90000;0.0485486
;;100000;0.0542335
;;110000;0.0623578
HS;US;;
;;10000;0.0038648
;;20000;0.0083953
;;30000;0.0131598
;;40000;0.0180874
;;50000;0.0240375
;;60000;0.0345999
;;70000;0.033934
;;80000;0.0395112
;;90000;0.0449066
;;100000;0.0501492
;;110000;0.0583241
HS;RS;;
;;10000;0.0045808
;;20000;0.0092505
;;30000;0.0148281
;;40000;0.0201365
;;50000;0.026656
;;60000;0.0321864
;;70000;0.0366771
;;80000;0.0427078
;;90000;0.0494382
;;100000;0.0551015
;;110000;0.0613788
;; ; 
;; ; 
;; ; 
;; ; 
;; ; 
Сортировка;Заполнение;Количество элементов;Время сортировки(сек)
